station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Inshes,57.45203372,-4.184715941,336367,37750,2025-05-24 01:00:00,7,7,10,67292010,1,251
Inverewe Garden,57.77399694,-5.596995718,115356,35664,2025-05-24 02:00:00,10,10,10,65999010,1,142
Inverey,56.98569953,-3.500915775,115230,35560,2025-05-24 02:00:00,5,5,5,65979010,1,219
Invermark,56.91121364,-2.914811966,14926,36590,2025-05-26 08:00:00,0,0,0,66075010,0,273
Inveruglas,56.2473573,-4.71287133,115588,35836,2025-05-26 09:00:00,41.6,41.6,50,66027010,0,227
Inverurie,57.2583172,-2.362253256,367365,37918,2025-05-23 10:00:00,0,0,0,66206010,1,263
Irvine Gailes,55.58754361,-4.663320263,115589,35840,2025-05-24 04:00:00,11.8,11.8,20,66028010,1,241
Jedburgh Castle,55.47029248,-2.557045815,541725,38386,2025-05-24 01:00:00,6.6,6.6,10,66255010,1,50
Keith,57.55084994,-2.952079018,367360,37910,2025-05-24 01:00:00,4,4,5,66204010,1,112
Killermont Raingauge,55.91108458,-4.305014408,341380,37818,2025-05-26 09:00:00,31.2,31.2,40,66193010,0,18
Killilan,57.31881832,-5.424835603,234252,37368,2025-05-24 04:00:00,17.2,17.2,20,66072010,1,72
Killin,56.45816211,-4.331876561,14933,36616,2025-05-24 00:00:00,6.2,6.2,10,66076010,1,5
Kilphedir,58.14138911,-3.702814019,234253,37374,2025-05-24 01:00:00,6,6,10,66128010,1,171
Kinbuck,56.2255551,-3.949530685,14890,36470,2025-05-26 09:00:00,30,30,30,66070010,0,196
Kindrogan,56.74926972,-3.544931301,14955,36692,2025-05-26 08:00:00,16.6,16.6,20,66080010,0,148
Kinghorn Ecology Centre Rain Gauge,56.07462319,-3.193432968,473550,38082,2025-05-26 09:00:00,15,15,20,66223010,0,236
Kingledores,55.54240926,-3.413947163,14972,36756,2025-05-24 00:00:00,5.8,5.8,10,66623010,1,136
Kinkell Bridge,56.33018709,-3.726992915,14968,36738,2025-05-26 10:00:00,14.4,14.4,20,66083010,0,61
